ID,Language,Source Text,Translated Text
,ar,"<div class=""well"">|||Edit list of Series in the box below. Rules:|||<ul>|||<li>Each Series Prefix on a new line.</li>|||<li>Allowed special characters are ""/"" and ""-""</li>|||<li>Optionally, set the number of digits in the series using dot (.) followed by hashes (#). For example, "".####"" means that the series will have four digits. Default is five digits.</li>|||</ul>|||Examples:<br>|||INV-<br>|||INV-10-<br>|||INVK-<br>|||INV-.####<br>|||</div>","<div class = ""well""> ||| تحرير قائمة السلاسل في المربع أدناه. القواعد: ||| <ul> ||| <li> كل بادئة متسلسلة في سطر جديد. </ li> ||| <li> الأحرف الخاصة المسموح بها هي ""/"" و ""-"" </li> ||| <li> اختياريًا ، عيِّن عدد الأرقام في السلسلة باستخدام النقطة (.) متبوعة بالتجزئة (#). على سبيل المثال ، يعني "". ####"" أن السلسلة ستتكون من أربعة أرقام. يتكون الافتراضي من خمسة أرقام. </li> ||| </ul> ||| أمثلة: <br> ||| INV- <br> ||| INV-10- <br> ||| INVK- <br> ||| INV -. #### <br> ||| </div>"
,ar,<div>|||<h3> All dimensions in centimeter only </h3>|||</div>,<div> ||| <h3> جميع الأبعاد بالسنتيمتر فقط </ h3> ||| </div>
,ar,"<h3>About Product Bundle</h3>||||||<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>|||<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>|||<h4>Example:</h4>|||<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3> حول حزمة المنتج </ h3> |||||| <p> مجموعة مجمعة من <b> الأصناف </ b> في <b> صنف </ b> آخر. يكون هذا مفيدًا إذا كنت تجمع <b> أصناف </ b> معينة في حزمة وتحتفظ بمخزون <b> الأصناف </ b> المحزومة وليس <b> الصنف </ b> المجمع. </ p> ||| <p> الحزمة <b> الصنف </ b> ستحتوي على <code> هو صنف مخزون </ code> كـ <b> لا </ b> و <code> عبارة عن صنف مبيعات </ code> كـ <b> نعم </ b>. </p> ||| <h4> مثال: </ h4> ||| <p> إذا كنت تبيع أجهزة الكمبيوتر المحمولة وحقائب الظهر بشكل منفصل ولديك سعر خاص إذا اشترى العميل كليهما ، فإن حقيبة الكمبيوتر المحمول + حقيبة الظهر ستكون صنفًا جديدًا في حزمة المنتجات. </ p>
,ar,"<h3>Client Script Help</h3>|||<p>Client Scripts are executed only on the client-side (i.e. in Forms). Here are some examples to get you started</p>|||<pre><code>||||||// fetch local_tax_no on selection of customer |||// cur_frm.add_fetch(link_field, source_fieldname, target_fieldname); |||cur_frm.add_fetch('customer', 'local_tax_no', 'local_tax_no');||||||// additional validation on dates |||frappe.ui.form.on('Task', 'validate', function(frm) {||| if (frm.doc.from_date &lt; get_today()) {||| msgprint('You can not select past date in From Date');||| validated = false;||| } |||});||||||// make a field read-only after saving |||frappe.ui.form.on('Task', {||| refresh: function(frm) {||| // use the __islocal value of doc, to check if the doc is saved or not||| frm.set_df_property('myfield', 'read_only', frm.doc.__islocal ? 0 : 1);||| } |||});||||||// additional permission check|||frappe.ui.form.on('Task', {||| validate: function(frm) {||| if(user=='user1@example.com' &amp;&amp; frm.doc.purpose!='Material Receipt') {||| msgprint('You are only allowed Material Receipt');||| validated = false;||| }||| } |||});||||||// calculate sales incentive|||frappe.ui.form.on('Sales Invoice', {||| validate: function(frm) {||| // calculate incentives for each person on the deal||| total_incentive = 0||| $.each(frm.doc.sales_team, function(i, d) {||| // calculate incentive||| var incentive_percent = 2;||| if(frm.doc.base_grand_total &gt; 400) incentive_percent = 4;||| // actual incentive||| d.incentives = flt(frm.doc.base_grand_total) * incentive_percent / 100;||| total_incentive += flt(d.incentives)||| });||| frm.doc.total_incentive = total_incentive;||| } |||})||||||</code></pre>",<h3> تعليمات برنامج العميل </ h3> ||| <p> يتم تنفيذ البرامج النصية للعميل فقط من جانب العميل (أي في النماذج). فيما يلي بعض الأمثلة للبدء </p> ||| <pre> <code> ||||| // fetch local_tax_no عند اختيار العميل ||| // cur_frm.add_fetch (link_field، source_fieldname، target_fieldname) ؛ ||| cur_frm.add_fetch ('customer'، 'local_tax_no'، 'local_tax_no')؛ |||||| // تحقق إضافي في التواريخ ||| frappe.ui.form.on ('المهمة' ، 'التحقق من الصحة' ، الوظيفة (frm) {||| if (frm.doc.from_date & lt؛ get_today ()) {||| msgprint ('لا يمكنك تحديد التاريخ الماضي في من التاريخ')؛ ||| تم التحقق من صحتها = خطأ؛ || |} |||})؛ |||||| // جعل الحقل للقراءة فقط بعد حفظ ||| frappe.ui.form.on ('المهمة'، {||| التحديث: الوظيفة (frm) { ||| // استخدم __القيمة المحلية للمستند ، للتحقق مما إذا كان المستند محفوظًا أم لا ||| frm.set_df_property ('myfield'، 'read_only'، frm.doc .__ islocal؟ 0: 1)؛ ||| } |||})؛ |||||| // فحص الإذن الإضافي ||| frappe.ui.form.on ('المهمة'، {||| validate: function (frm) {||| if (user =='user1@example.com '& amp؛ & amp؛ frm.doc.purpose! =' استلام المواد ') {||| msgprint (' مسموح لك فقط باستلام المواد ') ؛ ||| تم التحقق من صحتها = خطأ ؛ || |} |||} |||} ؛ |||||| // حساب حافز المبيعات ||| frappe.ui.form.on ('فاتورة المبيعات'، {||| validate: function (frm) { ||| // احتساب الحوافز لكل شخص في الحركة ||| total_i ncentive = 0 ||| $ .each (frm.doc.sales_team، function (i، d) {||| // حساب الحافز ||| var stimive_percent = 2؛ ||| if (frm.doc.base_grand_total & gt؛ 400 )uate_percent = 4 ؛ ||| // الحافز الفعلي ||| d.incentives = flt (frm.doc.base_grand_total) * الحافز_percent / 100؛ ||| total_incentive + = flt (d.incentives) |||})؛ ||| frm.doc.total_incentive = total_incentive؛ ||| } |||}) ||||| </code> </pre>
,ar,"<h3>Custom CSS Help</h3>||||||<p>Notes:</p>||||||<ol>|||<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>|||<li>All values are given class <code>value</code></li>|||<li>All Section Breaks are given class <code>section-break</code></li>|||<li>All Column Breaks are given class <code>column-break</code></li>|||</ol>||||||<h4>Examples</h4>||||||<p>1. Left align integers</p>||||||<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>||||||<p>1. Add border to sections except the last section</p>||||||<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }|||.section-break:last-child { padding-bottom: 0px; border-bottom: 0px; }</code></pre>|||","<h3> تعليمات CSS مخصصة </h3> |||||| <p> ملاحظات: </p> ||||| <ol> ||| <li> تم تعيين جميع مجموعات الحقول (التسمية + القيمة) السمات <code> نوع حقل البيانات </ code> و <code> اسم حقل البيانات </ code> </li> ||| <li> يتم إعطاء جميع القيم فئة <code> القيمة </ code> </li> | || <li> يتم إعطاء كل فواصل الأقسام فئة <code> فاصل أقسام </ code> </li> ||| <li> يتم إعطاء كل فواصل الأعمدة فئة <code> فاصل عمود </ code> </ li > ||| </ol> |||||| <h4> أمثلة </h4> ||||| <p> 1. محاذاة أعداد صحيحة إلى اليسار </ p> |||||| <pre> <code> [data-fieldtype = ""Int""] .value {text-align: left؛ } </code> </pre> |||||| <p> 1. إضافة حد إلى الأقسام باستثناء القسم الأخير </ p> |||||| <pre> <code> .section-break {padding: 30px 0px؛ الحد السفلي: 1px صلب #eee ؛ } ||| .section-break: last-child {padding-bottom: 0px؛ الحد السفلي: 0 بكسل ؛ } </code> </pre> |||"
,ar,"<h3>Help</h3>||||||<p>Notes:</p>||||||<ol>|||<li>Use field <code>base</code> for using base salary of the Employee</li>|||<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>|||<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>|||<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>|||<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>||||||<h4>Examples</h4>|||<ol>|||<li>Calculating Basic Salary based on <code>base</code>|||<pre><code>Condition: base &lt; 10000</code></pre>|||<pre><code>Formula: base * .2</code></pre></li>|||<li>Calculating HRA based on Basic Salary<code>BS</code> |||<pre><code>Condition: BS &gt; 2000</code></pre>|||<pre><code>Formula: BS * .1</code></pre></li>|||<li>Calculating TDS based on Employment Type<code>employment_type</code> |||<pre><code>Condition: employment_type==""Intern""</code></pre>|||<pre><code>Amount: 1000</code></pre></li>|||</ol>",<h3> تعليمات </ h3> |||||| <p>|: </ p> |||| <ol> ||| <li> استخدم الحقل <code> الأساسي </ code> للاستخدام الراتب الأساسي للموظف </ li> ||| <li> استخدام اختصارات مكون الراتب في الشروط والصيغ. <code> BS = الراتب الأساسي </ code> </li> ||| <li> استخدم اسم الحقل للحصول على تفاصيل الموظف في الشروط والصيغ. <code> نوع التوظيف = نوع_العمالة </code> <code> الفرع = الفرع </ code> </li> ||| <li> استخدم اسم الحقل من قسيمة الراتب في الشروط والصيغ. <code> أيام الدفع = أيام_الدفع </ code> <code> إجازة بدون أجر = إجازة بدون أجر </ code> </li> ||| <li> يمكن أيضًا قيد المبلغ المباشر بناءً على الحالة. انظر المثال 3 </li> </ol> |||||| <h4> أمثلة </h4> ||| <ol> ||| <li> حساب الراتب الأساسي استنادًا إلى <code> الأساسي </ code> ||| <قبل> <كود> الشرط: قاعدة العلامة & lt؛ 10000 </code> </pre> ||| <pre> <code> Formula: base * .2 </code> </pre> </li> ||| <li> حساب HRA على أساس الراتب الأساسي <code > BS </code> ||| <pre> <code> الحالة: BS & gt؛ 2000 </code> </pre> ||| <pre> <code> Formula: BS * .1 </code> </pre> </li> ||| <li> حساب TDS بناءً على نوع التوظيف <كود > نوع_العمل > </li> ||| </ol>
,ar,"<h3>Print Format Help</h3>|||<hr>|||<h4>Introduction</h4>|||<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>|||<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>|||<hr>|||<h4>References</h4>|||<ol>||| <li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>||| <li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>|||</ol>|||<hr>|||<h4>Example</h4>|||<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;|||&lt;div class=""row""&gt;||| &lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;||| &lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;|||&lt;/div&gt;|||&lt;div class=""row""&gt;||| &lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;||| &lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;|||&lt;/div&gt;|||&lt;table class=""table table-bordered""&gt;||| &lt;tbody&gt;||| &lt;tr&gt;||| &lt;th&gt;Sr&lt;/th&gt;||| &lt;th&gt;Item Name&lt;/th&gt;||| &lt;th&gt;Description&lt;/th&gt;||| &lt;th class=""text-right""&gt;Qty&lt;/th&gt;||| &lt;th class=""text-right""&gt;Rate&lt;/th&gt;||| &lt;th class=""text-right""&gt;Amount&lt;/th&gt;||| &lt;/tr&gt;||| {%- for row in doc.items -%}||| &lt;tr&gt;||| &lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;||| &lt;td style=""width: 20%;""&gt;||| {{ row.item_name }}||| {% if row.item_code != row.item_name -%}||| &lt;br&gt;Item Code: {{ row.item_code}}||| {%- endif %}||| &lt;/td&gt;||| &lt;td style=""width: 37%;""&gt;||| &lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;||| &lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;||| &lt;td style=""width: 15%; text-align: right;""&gt;{{||| row.get_formatted(""rate"", doc) }}&lt;/td&gt;||| &lt;td style=""width: 15%; text-align: right;""&gt;{{||| row.get_formatted(""amount"", doc) }}&lt;/td&gt;||| &lt;/tr&gt;||| {%- endfor -%}||| &lt;/tbody&gt;|||&lt;/table&gt;</code></pre>|||<hr>|||<h4>Common Functions</h4>|||<table class=""table table-bordered"">||| <tbody>||| <tr>||| <td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>||| <td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>||| </tr>||| <tr>||| <td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>||| <td>Get value from another document.</td>||| </tr>||| </tbody>|||</table>|||","<h3> تعليمات تنسيق الطباعة </ h3> ||| <hr> ||| <h4> مقدمة </ h4> ||| <p> يتم تقديم تنسيقات الطباعة على جانب الخادم باستخدام لغة نموذج Jinja. جميع النماذج لها حق الوصول إلى كائن <code> doc </code> الذي يحتوي على معلومات حول المستند الذي يتم تنسيقه. يمكنك أيضًا الوصول إلى المرافق العامة عبر وحدة <code> frappe </code>. </p> ||| <p> للتصميم ، يتم توفير إطار عمل Boostrap CSS ويمكنك الاستمتاع بمجموعة كاملة من الفئات. </ p > ||| <hr> ||| <h4> المراجع </ h4> ||| <ol> ||| <li> <a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank""> لغة نماذج جينجا </a> </li> ||| <li> <a href=""http://getbootstrap.com"" target=""_blank""> Bootstrap CSS Framework </a> </li> ||| </ol> ||| <hr> ||| < h4> مثال </ h4> ||| <pre> <code> & lt؛ h3 & gt؛ {{doc.select_print_heading or ""Invoice""}} & lt؛ / h3 & gt؛ ||| & lt؛ div class = ""row"" & gt؛ | || & lt؛ div class = ""col-md-3 text-right"" & gt؛ اسم العميل & lt؛ / div & gt؛ ||| & lt؛ div class = ""col-md-9"" & gt؛ {{doc.customer_name}} & lt؛ / div & gt؛ ||| & lt؛ / div & gt؛ ||| & lt؛ div class = ""row"" & gt؛ ||| & lt؛ div class = ""col-md-3 text-right"" & gt؛ التاريخ & lt؛ / div & gt؛ ||| & lt؛ div class = ""col-md-9"" & gt؛ {{doc.get_formatted (""invoice_date"")}} & lt؛ / div & gt؛ ||| & lt؛ / div & gt؛ ||| & lt؛ table class = ""جدول الجدول حدود ""& GT ؛ ||| العلامة & lt؛ tbody & GT؛ ||| العلامة & lt؛ tr & gt؛ ||| & lt؛ th & gt؛ Sr & lt؛ / th & gt؛ ||| العلامة & lt؛ th & gt؛ اسم الصنف & lt؛ / ال & GT؛ ||| & lt؛ th & gt؛ الوصف & lt؛ / th & gt؛ ||| العلامة & lt؛ th class = ""text-right"" & gt؛ Qty & lt؛ / th & gt؛ ||| العلامة & lt؛ th class = ""text-right"" & gt؛ Rate & lt؛ / th & gt؛ ||| & lt؛ th class = ""text-right"" & gt؛ المبلغ & lt؛ / th & gt؛ ||| العلامة & lt؛ / tr & gt؛ ||| {٪ - للصف في doc.items -٪} ||| العلامة & lt؛ tr & gt؛ ||| & lt؛ td style = ""width: 3٪؛"" & gt؛ {{row.idx}} & lt؛ / td & gt؛ ||| & lt؛ td style = ""width: 20٪؛"" & gt؛ ||| {{row.item_name}} ||| {٪ if row.item_code! = row.item_name -٪} ||| & lt؛ br & gt؛ كود الصنف: {{row.item_code}} ||| {٪ - endif٪} ||| العلامة & lt؛ / td & gt؛ ||| & lt؛ td style = ""العرض: 37٪؛"" & gt؛ ||| & lt؛ div style = ""border: 0px؛"" & gt؛ {{row.description}} & lt؛ / div & gt؛ & lt؛ / td & gt؛ ||| & lt؛ td style = ""width: 10٪؛ text-align: right؛"" & gt؛ {{row.qty}} {{row.وحدة القياس or row.stock_وحدة القياس}} & lt؛ / td & gt؛ ||| & lt؛ td style = ""width: 15٪؛ text-align: right؛"" & gt؛ {{||| row.get_formatted (""rate""، doc)}} & lt؛ / td & gt؛ ||| & lt؛ td style = ""width: 15٪؛ text-align: right؛"" & gt؛ {{||| row.get_formatted (""amount""، doc)}} & lt؛ / td & gt؛ ||| العلامة & lt؛ / tr & gt؛ ||| {٪ - endfor -٪} ||| & lt؛ / tbody & gt؛ ||| & lt؛ / table & gt؛ </code> </pre> ||| <hr> ||| <h4> الوظائف الشائعة </ h4> ||| <table class = ""table table- يحدها ""> ||| <tbody> ||| <tr> ||| <td style = ""width: 30٪؛""> <code> doc.get_formatted (""[fieldname]""، [parent_doc]) </code> </td> ||| <td> الحصول على قيمة المستند بتنسيق التاريخ والعملة وما إلى ذلك. قم بتمرير <code> المستند الأصلي </ code> لحقول نوع العملة. </ td> ||| </tr> ||| <tr> ||| <td style = ""width: 30٪؛""> <code> frappe.db.get_value (""[Dectype]""، ""[name]""، ""fieldname"") </code> </td> ||| <td> الحصول على قيمة من مستند آخر. </ td> ||| </tr> ||| </tbody> ||| </table> |||"
,ar,"<h4>Body Text and Closing Text Example</h4>||||||<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4> مثال على النص الأساسي والنص الختامي </h4> |||||| <div> لقد لاحظنا أنك لم تدفع حتى الآن فاتورة {{sales_invoice}} لـ {{frappe.db.get_value (""Currency""، العملة ، ""الرمز"")}} {{standing_amount}}. هذا تذكير ودي بأن الفاتورة كانت مستحقة الدفع في {{due_date}}. الرجاء دفع المبلغ المستحق على الفور لتجنب أي تكلفة مطالبة أخرى. </ div> ||||| <h4> كيفية الحصول على أسماء الحقول </ h4> |||||| <p> أسماء الحقول التي يمكنك استخدامها في النموذج هي الحقول الموجودة في المستند. يمكنك رقمة الحقول الخاصة بأي مستندات عبر الإعداد & GT. تخصيص عرض النموذج واختيار نوع المستند (مثل فاتورة المبيعات) </ p> ||| لرقمة المزيد حول Jinja ، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/""> اقرأ هذه الوثائق. </a> </p>"
,ar,"<h4>Condition Examples</h4>|||<ol>|||<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>|||<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>|||<code>Condition: gender==""Male""</code></li><br>|||<li>Applying tax by Salary Component<br>|||<code>Condition: base &gt; 10000</code></li></ol>","<h4> أمثلة على الحالة </ h4> ||| <ol> ||| <li> تطبيق الضريبة إذا كان الموظف المولود بين 31-12-1937 و 01-01-1958 (الموظفون الذين تتراوح أعمارهم بين 60 و 80) <br> || | <code> الشرط: date_of_birth & gt؛ date (1937، 12، 31) and date_of_birth & lt؛ date (1958، 01، 01) </code> </li> <br> <li> تطبيق الضريبة حسب جنس الموظف <br> | || <code> الحالة: الجنس == ""ذكر"" </ code> </li> <br> ||| <li> تطبيق الضريبة حسب مكون الراتب <br> ||| <code> الحالة: القاعدة & gt؛ 10000 </code> </li> </ol>"
,ar,"<h4>Contract Template Example</h4>||||||<pre>Contract for Customer {{ party_name }}||||||-Valid From : {{ start_date }} |||-Valid To : {{ end_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4> مثال على نموذج العقد </ h4> |||||| <pre> العقد للعميل {{party_name}} |||||| - صالح من: {{start_date}} ||| - صالح لـ: { {end_date}} ||| </pre> |||||| <h4> كيفية الحصول على أسماء الحقول </ h4> |||||| <p> أسماء الحقول التي يمكنك استخدامها في نموذج العقد الخاص بك هي الحقول في العقد الذي تقوم بإنشاء النموذج من أجله. يمكنك رقمة الحقول الخاصة بأي مستندات عبر الإعداد & GT. تخصيص عرض النموذج وتحديد نوع المستند (مثل العقد) </ p> |||||| <h4> النماذج </ h4> |||||| <p> يتم تجميع النماذج باستخدام لغة نموذج Jinja. لرقمة المزيد حول Jinja ، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/""> اقرأ هذه الوثائق. </a> </p>"
,ar,"<h4>Default Template</h4>|||<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>|||<pre><code>{{ address_line1 }}&lt;br&gt;|||{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}|||{{ city }}&lt;br&gt;|||{% if state %}{{ state }}&lt;br&gt;{% endif -%}|||{% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%}|||{{ country }}&lt;br&gt;|||{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}|||{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}|||{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}|||</code></pre>","<h4> النموذج الافتراضي </ h4> ||| <p> يستخدم <a href=""http://jinja.pocoo.org/docs/templates/""> Jinja Templating </a> وجميع حقول العنوان ( بما في ذلك الحقول المخصصة إن وجدت) متاحًا </ p> ||| <pre> <code> {{address_line1}} & lt؛ br & gt؛ ||| {٪ if address_line2٪} {{address_line2}} & lt؛ br & gt؛ { ٪ endif -٪} ||| {{city}} & lt؛ br & gt؛ ||| {٪ if state٪} {{state}} & lt؛ br & gt؛ {٪ endif -٪} ||| {٪ if pincode٪} رقم التعريف الشخصي: {{pincode}} & lt؛ br & gt؛ {٪ endif -٪} ||| {{country}} & lt؛ br & gt؛ ||| {٪ if phone٪} الهاتف: {{phone}} & lt؛ br & gt؛ { ٪ endif -٪} ||| {٪ if fax٪} الفاكس: {{fax}} & lt؛ br & gt؛ {٪ endif -٪} ||| {٪ if email_id٪} البريد الإلكتروني: {{email_id}} & lt؛ br & gt ؛ {٪ endif -٪} ||| </code> </pre>"
